Num_of_Topics,Coherence_Value
2,0.3596075437215359
3,0.3519796955410634
4,0.3607613031013611
5,0.35909300790662446
6,0.36741253149414627
7,0.3645357798590844
8,0.3565249784570249
9,0.3525162855436498
10,0.34068998081501817
11,0.32381959662249943
12,0.31408666183765394
13,0.28918738129806554
14,0.2664125363481234
15,0.2541595937505344
16,0.24792200584074614
17,0.2599325337556813
18,0.265091826389907
19,0.27313262899284235
20,0.2723729332128248
21,0.2734134387814957
22,0.271514900377067
23,0.27488886231392656
24,0.274310533663179
25,0.272816534874909
26,0.272450353358347
27,0.26659129401408865
28,0.26423480947009365
29,0.27272141150416207
30,0.264721403121809
31,0.27285551373152866
32,0.2725771768368809
33,0.26277264392758726
34,0.2662318964928129
35,0.262133768658928
36,0.2584086825274261
37,0.25876528275965266
38,0.2558185892548332
39,0.2536858226003019
40,0.2561302614792847
41,0.2593028402914082
42,0.25706310841074265
43,0.25851967255647895
44,0.2558190059499221
45,0.2567784066534671
46,0.2589068753403087
47,0.25664327539666903
48,0.25527948584245214
49,0.25949047518394824
50,0.25754303857344807


Best Number of Topics: 6
Highest Coherence Score: 0.36741253149414627
