Num_of_Topics,Coherence_Value
2,0.3596075437215359
3,0.35310798401613575
4,0.342053934226206
5,0.35909300790662446
6,0.36187587712665087
7,0.3578166645590949
8,0.3492984632849283
9,0.3426753775826578
10,0.341009850549779
11,0.31950667382994263
12,0.3020582743858447
13,0.27544759778358785
14,0.265243078441638
15,0.2535684397829485
16,0.24979395302814475
17,0.24950756494839138
18,0.26332726052106226
19,0.2692476905720173
20,0.26713627710752974
21,0.26031181148583443
22,0.27070609634587284
23,0.26575568866045596
24,0.2672021832202102
25,0.2634952173987178
26,0.2628878270953717
27,0.2605476903659588
28,0.2603437987293322
29,0.26113063094100125
30,0.26627688611492684
31,0.26581536216830876
32,0.26494918897646985
33,0.2580634405243232
34,0.2601900797499606
35,0.25972947745593256
36,0.25732718212819994
37,0.25604688748302823
38,0.2533457808440489
39,0.25345180327564865
40,0.2574627086509402
41,0.25720470261281364
42,0.25718887777621163
43,0.25759154281217034
44,0.2573891040277391
45,0.25554075254742575
46,0.25795218164115863
47,0.2537231542096635
48,0.2532261907088356
49,0.25300221844166204
50,0.2534970997404645


Best Number of Topics: 6
Highest Coherence Score: 0.36187587712665087
