Num_of_Topics,Coherence_Value
2,0.3596075437215359
3,0.35310798401613575
4,0.342053934226206
5,0.35909300790662446
6,0.35640140741070697
7,0.3644918438437557
8,0.3492984632849283
9,0.33782478773714736
10,0.34271055028483255
11,0.31221630778995824
12,0.2862495139753381
13,0.2709300624884847
14,0.2582536635468543
15,0.24826134762358815
16,0.24614105870467168
17,0.2530442603474967
18,0.26438575320574587
19,0.2620350146875496
20,0.2630311066043787
21,0.26100956351755666
22,0.2629472583448433
23,0.26865488402363463
24,0.2623293903001928
25,0.2575518430359914
26,0.25915431712768033
27,0.2595318834809354
28,0.2582293357280837
29,0.26229577243756014
30,0.26397848322031475
31,0.26171604598229675
32,0.2638181187152453
33,0.2575091905788999
34,0.2571554988261242
35,0.25850077511832825
36,0.25673668758477963
37,0.25388228969101384
38,0.24929021100525622
39,0.25176662944982603
40,0.25700042776144166
41,0.25656700309183034
42,0.2599217979229079
43,0.25894600070173507
44,0.2554278779277533
45,0.25597300685093893
46,0.2550433730735336
47,0.25561260277863573
48,0.2535961784757383
49,0.2538975276379925
50,0.25352087335344137

Best Number of Topics: 7
Highest Coherence Score: 0.3644918438437557
